Date, Open, High, Low, Close, TotalVolume, UnAdjustedClose
1999-09-17,90.02014365,90.91101218,89.70197632,90.78374525,   85423,133.75000000
1999-09-20,90.91101218,90.95343449,90.33831099,90.65647832,   28039,133.56250000
1999-09-21,89.76560979,89.91408788,88.34446238,88.74747433,   93352,130.75000000
1999-09-22,89.08685282,89.48986477,88.06871735,88.65202413,  130091,130.60937500
1999-09-23,89.46865361,89.46865361,86.62635879,86.79604803,  122041,127.87500000
1999-09-24,86.71120341,87.13542652,85.73549026,86.71120341,  137929,127.75000000
1999-09-27,87.38996038,88.06871735,87.07179305,87.28390460,   69703,128.59375000
1999-09-28,86.83847034,87.43238269,85.22642253,87.11421536,  110634,128.34375000
1999-09-29,87.17784883,87.64449425,86.03244643,86.07486874,   75803,126.81250000
1999-09-30,86.49909185,87.85660580,86.18092452,87.38996038,   74989,128.75000000
1999-10-01,86.83847034,87.26269345,85.94760181,87.19905998,  111271,128.46875000
1999-10-04,87.68691656,88.83231895,87.38996038,88.74747433,   63416,130.75000000
1999-10-05,88.72626317,89.57470939,87.34753807,88.66262971,  119760,130.62500000
1999-10-06,88.74747433,90.14741059,88.70505202,90.02014365,  103082,132.62500000
1999-10-07,90.17922732,90.27467752,89.25654206,89.51107592,   65356,131.87500000
1999-10-08,89.42623130,90.86858987,89.07624724,90.86858987,   96743,133.87500000
1999-10-11,90.67768947,91.03827912,90.48678907,90.72011178,   42820,133.65625000
1999-10-12,90.35952214,90.48678907,89.04443050,89.32017553,   86861,131.59375000
1999-10-13,88.70505202,89.12927513,87.00815958,87.00815958,  104693,128.18750000
1999-10-14,87.20966556,87.68691656,86.03244643,86.98694843,  105622,128.15625000
1999-10-15,85.52337870,86.03244643,84.50524324,84.75977711,  142387,124.87500000
1999-10-18,84.80219942,85.48095639,83.78406396,85.37490061,   97588,125.78125000
1999-10-19,86.32940261,87.05058189,85.48095639,86.20213568,  143929,127.00000000
1999-10-20,86.71120341,87.87781696,86.28698030,87.05058189,   97594,128.25000000
1999-10-21,86.35061376,87.55964962,85.94760181,87.55964962,   91054,129.00000000
1999-10-22,88.06871735,89.06564166,87.94145042,88.30204006,   83096,130.09375000
1999-10-25,87.77176118,88.55657393,87.38996038,87.85660580,   81143,129.43750000
1999-10-26,88.36567353,88.70505202,86.75362572,86.75362572,   62563,127.81250000
1999-10-27,87.13542652,88.45051815,87.05058189,88.32325122,   54333,130.12500000
1999-10-28,89.89287672,91.53674127,89.72318748,91.33523529,  105097,134.56250000
1999-10-29,92.20489266,93.45635083,92.12004804,92.98970541,  109886,137.00000000
1999-11-01,92.65032693,92.98970541,92.01399226,92.01399226,   40065,135.56250000
1999-11-02,92.28973729,93.15939466,91.35644645,91.35644645,   65169,134.59375000
1999-11-03,92.31094844,92.56548231,91.71703609,91.97156995,   72223,135.50000000
1999-11-04,92.82001617,93.23363370,92.15186478,92.67153808,   79075,136.53125000
1999-11-05,94.09268550,94.42145841,92.84122733,93.58361777,   74315,137.87500000
1999-11-08,92.98970541,93.92299625,92.82001617,93.66846239,   46492,138.00000000
